type,survey_year,transect_number,taxa_code,scientific_name,pct_cover,zone
Egregia,1999,5,EGRMEN,Egregia menziesii,44.800000000000004,Zone I
Egregia,1999,5,PHYALL,Phyllospadix spp,51.4,Zone I
Egregia,2000,5,EGRMEN,Egregia menziesii,11,Zone I
Egregia,2000,5,PHYALL,Phyllospadix spp,65,Zone I
Egregia,2000,6,EGRMEN,Egregia menziesii,45,Zone I
Egregia,2000,6,HALCYS,Halidrys dioica/cystoseira spp,8,Zone I
Egregia,2000,6,PHYALL,Phyllospadix spp,42,Zone I
Egregia,2001,6,EGRMEN,Egregia menziesii,22,Zone I
Egregia,2001,6,PHYALL,Phyllospadix spp,41,Zone I
Egregia,2001,5,PHYALL,Phyllospadix spp,72,Zone I
Egregia,2002,5,PHYALL,Phyllospadix spp,90,Zone I
Egregia,2002,6,PHYALL,Phyllospadix spp,63,Zone I
Egregia,2003,5,ARTCOR,Articulated corallines,2,Zone I
Egregia,2003,5,OTHRED,Other red algae,10,Zone I
Egregia,2003,5,PHYALL,Phyllospadix spp,87,Zone I
Egregia,2003,5,ROCK,Bare rock,1,Zone I
Egregia,2003,6,EGRMEN,Egregia menziesii,7.000000000000001,Zone I
Egregia,2003,6,HALCYS,Halidrys dioica/cystoseira spp,27,Zone I
Egregia,2003,6,OTHRED,Other red algae,6,Zone I
Egregia,2003,6,PHYALL,Phyllospadix spp,57.99999999999999,Zone I
Egregia,2003,6,ROCK,Bare rock,1,Zone I
Egregia,2003,6,UNIDEN,Unidentified,1,Zone I
Egregia,2004,5,ARTCOR,Articulated corallines,2,Zone I
Egregia,2004,5,EGRMEN,Egregia menziesii,1,Zone I
Egregia,2004,5,OTHRED,Other red algae,3,Zone I
Egregia,2004,5,PHYALL,Phyllospadix spp,94,Zone I
Egregia,2004,6,ARTCOR,Articulated corallines,1,Zone I
Egregia,2004,6,EGRMEN,Egregia menziesii,6,Zone I
Egregia,2004,6,HALCYS,Halidrys dioica/cystoseira spp,23,Zone I
Egregia,2004,6,OTHRED,Other red algae,8,Zone I
Egregia,2004,6,PHYALL,Phyllospadix spp,56.99999999999999,Zone I
Egregia,2004,6,ROCK,Bare rock,5,Zone I
Egregia,2005,5,ARTCOR,Articulated corallines,6,Zone I
Egregia,2005,5,OTHRED,Other red algae,4,Zone I
Egregia,2005,5,PHYALL,Phyllospadix spp,89,Zone I
Egregia,2005,5,SAND,Sand,1,Zone I
Egregia,2005,6,ARTCOR,Articulated corallines,5,Zone I
Egregia,2005,6,EGRMEN,Egregia menziesii,13,Zone I
Egregia,2005,6,HALCYS,Halidrys dioica/cystoseira spp,6,Zone I
Egregia,2005,6,OTHBRO,Other brown algae,2,Zone I
Egregia,2005,6,OTHGRE,Other green algae,2,Zone I
Egregia,2005,6,OTHRED,Other red algae,4,Zone I
Egregia,2005,6,PHYALL,Phyllospadix spp,68,Zone I
Egregia,2006,5,ARTCOR,Articulated corallines,5,Zone I
Egregia,2006,5,EGRMEN,Egregia menziesii,22,Zone I
Egregia,2006,5,OTHRED,Other red algae,4,Zone I
Egregia,2006,5,PHYALL,Phyllospadix spp,69,Zone I
Egregia,2006,6,ARTCOR,Articulated corallines,7.000000000000001,Zone I
Egregia,2006,6,EGRMEN,Egregia menziesii,20,Zone I
Egregia,2006,6,HALCYS,Halidrys dioica/cystoseira spp,2,Zone I
Egregia,2006,6,OTHRED,Other red algae,7.000000000000001,Zone I
Egregia,2006,6,PHYALL,Phyllospadix spp,63,Zone I
Egregia,2006,6,ROCK,Bare rock,1,Zone I
Egregia,2007,5,ARTCOR,Articulated corallines,6,Zone I
Egregia,2007,5,OTHRED,Other red algae,17,Zone I
Egregia,2007,5,PHYALL,Phyllospadix spp,75,Zone I
Egregia,2007,5,ROCK,Bare rock,1,Zone I
Egregia,2007,5,SAND,Sand,1,Zone I
Egregia,2007,6,ARTCOR,Articulated corallines,5,Zone I
Egregia,2007,6,CRUCOR,Crustose corallines,1,Zone I
Egregia,2007,6,EGRMEN,Egregia menziesii,3,Zone I
Egregia,2007,6,HALCYS,Halidrys dioica/cystoseira spp,5,Zone I
Egregia,2007,6,OTHRED,Other red algae,19,Zone I
Egregia,2007,6,PHYALL,Phyllospadix spp,65,Zone I
Egregia,2007,6,ROCK,Bare rock,2,Zone I
Egregia,2008,5,ARTCOR,Articulated corallines,12,Zone I
Egregia,2008,5,OTHRED,Other red algae,12,Zone I
Egregia,2008,5,PHYALL,Phyllospadix spp,72,Zone I
Egregia,2008,5,ROCK,Bare rock,1,Zone I
Egregia,2008,5,SAND,Sand,1,Zone I
Egregia,2008,5,UNIDEN,Unidentified,2,Zone I
Egregia,2008,6,EGRMEN,Egregia menziesii,30,Zone I
Egregia,2008,6,OTHRED,Other red algae,9,Zone I
Egregia,2008,6,PHYALL,Phyllospadix spp,61,Zone I
Egregia,2009,5,ARTCOR,Articulated corallines,5,Zone I
Egregia,2009,5,EGRMEN,Egregia menziesii,2,Zone I
Egregia,2009,5,OTHRED,Other red algae,11,Zone I
Egregia,2009,5,PHYALL,Phyllospadix spp,79,Zone I
Egregia,2009,5,ROCK,Bare rock,2,Zone I
Egregia,2009,5,SAND,Sand,1,Zone I
Egregia,2009,6,EGRMEN,Egregia menziesii,6,Zone I
Egregia,2009,6,OTHRED,Other red algae,9,Zone I
Egregia,2009,6,PHYALL,Phyllospadix spp,79,Zone I
Egregia,2010,5,ARTCOR,Articulated corallines,4,Zone I
Egregia,2010,5,OTHRED,Other red algae,15,Zone I
Egregia,2010,5,PHYALL,Phyllospadix spp,77,Zone I
Egregia,2010,5,SAND,Sand,4,Zone I
Egregia,2010,6,EGRMEN,Egregia menziesii,16,Zone I
Egregia,2010,6,OTHBRO,Other brown algae,4,Zone I
Egregia,2010,6,OTHRED,Other red algae,2,Zone I
Egregia,2010,6,PHYALL,Phyllospadix spp,69,Zone I
Egregia,2010,6,ROCK,Bare rock,7.000000000000001,Zone I
Egregia,2011,5,EGRMEN,Egregia menziesii,28.999999999999996,Zone I
Egregia,2011,5,OTHBRO,Other brown algae,3,Zone I
Egregia,2011,5,OTHRED,Other red algae,8,Zone I
Egregia,2011,5,PHYALL,Phyllospadix spp,59,Zone I
Egregia,2011,5,ROCK,Bare rock,1,Zone I
Egregia,2011,6,EGRMEN,Egregia menziesii,30,Zone I
Egregia,2011,6,OTHBRO,Other brown algae,2,Zone I
Egregia,2011,6,OTHRED,Other red algae,1,Zone I
Egregia,2011,6,PHYALL,Phyllospadix spp,64,Zone I
Egregia,2012,6,EGRMEN,Egregia menziesii,14.000000000000002,Zone I
Egregia,2012,6,OTHBRO,Other brown algae,5,Zone I
Egregia,2012,6,OTHRED,Other red algae,9,Zone I
Egregia,2012,6,PHYALL,Phyllospadix spp,68,Zone I
Egregia,2012,6,ROCK,Bare rock,3,Zone I
Egregia,2012,6,SARMUT,Sargassum muticum,1,Zone I
Egregia,2012,5,EGRMEN,Egregia menziesii,10,Zone I
Egregia,2012,5,OTHRED,Other red algae,32,Zone I
Egregia,2012,5,PHYALL,Phyllospadix spp,56.00000000000001,Zone I
Egregia,2012,5,ROCK,Bare rock,1,Zone I
Egregia,2012,5,SAND,Sand,1,Zone I
Egregia,2013,5,EGRMEN,Egregia menziesii,69,Zone I
Egregia,2013,5,OTHRED,Other red algae,9,Zone I
Egregia,2013,5,PHYALL,Phyllospadix spp,19,Zone I
Egregia,2013,5,ROCK,Bare rock,3,Zone I
Egregia,2013,6,EGRMEN,Egregia menziesii,62,Zone I
Egregia,2013,6,OTHRED,Other red algae,4,Zone I
Egregia,2013,6,PHYALL,Phyllospadix spp,26,Zone I
Egregia,2014,5,ARTCOR,Articulated corallines,8,Zone I
Egregia,2014,5,CRUCOR,Crustose corallines,1,Zone I
Egregia,2014,5,EGRMEN,Egregia menziesii,3,Zone I
Egregia,2014,5,OTHBRO,Other brown algae,3,Zone I
Egregia,2014,5,OTHRED,Other red algae,17,Zone I
Egregia,2014,5,PHYALL,Phyllospadix spp,61,Zone I
Egregia,2014,5,ROCK,Bare rock,4,Zone I
Egregia,2014,5,SAND,Sand,2,Zone I
Egregia,2014,5,SARMUT,Sargassum muticum,1,Zone I
Egregia,2014,6,ARTCOR,Articulated corallines,1,Zone I
Egregia,2014,6,CRUCOR,Crustose corallines,1,Zone I
Egregia,2014,6,EGRMEN,Egregia menziesii,14.000000000000002,Zone I
Egregia,2014,6,OTHBRO,Other brown algae,1,Zone I
Egregia,2014,6,OTHRED,Other red algae,6,Zone I
Egregia,2014,6,PHYALL,Phyllospadix spp,67,Zone I
Egregia,2014,6,ROCK,Bare rock,7.000000000000001,Zone I
Egregia,2014,6,SAND,Sand,1,Zone I
Egregia,2014,6,SARMUT,Sargassum muticum,2,Zone I
Egregia,2015,5,ARTCOR,Articulated corallines,8,Zone I
Egregia,2015,5,OTHBRO,Other brown algae,9,Zone I
Egregia,2015,5,OTHRED,Other red algae,15,Zone I
Egregia,2015,5,PHYALL,Phyllospadix spp,64,Zone I
Egregia,2015,5,SAND,Sand,4,Zone I
Egregia,2015,6,EGRMEN,Egregia menziesii,5,Zone I
Egregia,2015,6,OTHRED,Other red algae,5,Zone I
Egregia,2015,6,PHYALL,Phyllospadix spp,69,Zone I
Egregia,2015,6,ROCK,Bare rock,17,Zone I
Egregia,2016,5,ARTCOR,Articulated corallines,1,Zone I
Egregia,2016,5,OTHRED,Other red algae,13,Zone I
Egregia,2016,5,PHYALL,Phyllospadix spp,82,Zone I
Egregia,2016,5,ROCK,Bare rock,3,Zone I
Egregia,2016,6,ARTCOR,Articulated corallines,4,Zone I
Egregia,2016,6,CRUCOR,Crustose corallines,2,Zone I
Egregia,2016,6,EGRMEN,Egregia menziesii,11,Zone I
Egregia,2016,6,NONCRU,Non-coralline crust,1,Zone I
Egregia,2016,6,OTHRED,Other red algae,16,Zone I
Egregia,2016,6,PHRCAL,Phragmatopoma californica,1,Zone I
Egregia,2016,6,PHYALL,Phyllospadix spp,55.00000000000001,Zone I
Egregia,2016,6,ROCK,Bare rock,4,Zone I
Egregia,2016,6,SAND,Sand,1,Zone I
Egregia,2017,5,OTHRED,Other red algae,8,Zone I
Egregia,2017,5,PHYALL,Phyllospadix spp,91,Zone I
Egregia,2017,5,ROCK,Bare rock,1,Zone I
Egregia,2017,6,EGRMEN,Egregia menziesii,18,Zone I
Egregia,2017,6,OTHRED,Other red algae,6,Zone I
Egregia,2017,6,PHYALL,Phyllospadix spp,75,Zone I
Egregia,2017,6,ROCK,Bare rock,1,Zone I
Egregia,2019,5,ARTCOR,Articulated corallines,3,Zone I
Egregia,2019,5,OTHBRO,Other brown algae,1,Zone I
Egregia,2019,5,OTHRED,Other red algae,11,Zone I
Egregia,2019,5,PHYALL,Phyllospadix spp,83,Zone I
Egregia,2019,5,ROCK,Bare rock,2,Zone I
Egregia,2019,6,ARTCOR,Articulated corallines,1,Zone I
Egregia,2019,6,EGRMEN,Egregia menziesii,5,Zone I
Egregia,2019,6,OTHRED,Other red algae,11,Zone I
Egregia,2019,6,PHYALL,Phyllospadix spp,74,Zone I
Egregia,2019,6,ROCK,Bare rock,9,Zone I
Egregia,2020,5,ARTCOR,Articulated corallines,1,Zone I
Egregia,2020,5,OTHRED,Other red algae,9,Zone I
Egregia,2020,5,PHYALL,Phyllospadix spp,89,Zone I
Egregia,2020,5,SAND,Sand,1,Zone I
Egregia,2020,6,OTHBRO,Other brown algae,3,Zone I
Egregia,2020,6,OTHRED,Other red algae,11,Zone I
Egregia,2020,6,PHYALL,Phyllospadix spp,84,Zone I
Egregia,2020,6,ROCK,Bare rock,2,Zone I
Egregia,2021,5,OTHRED,Other red algae,3,Zone I
Egregia,2021,5,PHYALL,Phyllospadix spp,97,Zone I
Egregia,2021,6,OTHBRO,Other brown algae,8,Zone I
Egregia,2021,6,OTHRED,Other red algae,13,Zone I
Egregia,2021,6,PHYALL,Phyllospadix spp,77,Zone I
Egregia,2021,6,SAND,Sand,2,Zone I
Phyllospadix,1990,3,PHYALL,Phyllospadix spp,57.099999999999994,Zone I
Phyllospadix,1990,4,EGRMEN,Egregia menziesii,28.999999999999996,Zone I
Phyllospadix,1990,4,PHYALL,Phyllospadix spp,27.1,Zone I
Phyllospadix,1991,3,EGRMEN,Egregia menziesii,1.9,Zone I
Phyllospadix,1991,3,PHYALL,Phyllospadix spp,66.7,Zone I
Phyllospadix,1991,4,EGRMEN,Egregia menziesii,17.299999999999997,Zone I
Phyllospadix,1991,4,PHYALL,Phyllospadix spp,75.4,Zone I
Phyllospadix,1992,4,EGRMEN,Egregia menziesii,2.4,Zone I
Phyllospadix,1992,4,PHYALL,Phyllospadix spp,91.8,Zone I
Phyllospadix,1992,3,PHYALL,Phyllospadix spp,80.30000000000001,Zone I
Phyllospadix,1993,3,PHYALL,Phyllospadix spp,84.6,Zone I
Phyllospadix,1993,4,EGRMEN,Egregia menziesii,0.7000000000000001,Zone I
Phyllospadix,1993,4,PHYALL,Phyllospadix spp,95.7,Zone I
Phyllospadix,1994,3,PHYALL,Phyllospadix spp,83.7,Zone I
Phyllospadix,1994,4,PHYALL,Phyllospadix spp,97.3,Zone I
Phyllospadix,1994,4,SARMUT,Sargassum muticum,1.6,Zone I
Phyllospadix,1995,3,PHYALL,Phyllospadix spp,77.8,Zone I
Phyllospadix,1995,4,EGRMEN,Egregia menziesii,1.6,Zone I
Phyllospadix,1995,4,PHYALL,Phyllospadix spp,82,Zone I
Phyllospadix,1995,4,SARMUT,Sargassum muticum,2.3,Zone I
Phyllospadix,1996,3,PHYALL,Phyllospadix spp,72.1,Zone I
Phyllospadix,1996,4,PHYALL,Phyllospadix spp,78,Zone I
Phyllospadix,1996,4,SARMUT,Sargassum muticum,2.1,Zone I
Phyllospadix,1997,3,PHYALL,Phyllospadix spp,69.89999999999999,Zone I
Phyllospadix,1997,4,PHYALL,Phyllospadix spp,78.4,Zone I
Phyllospadix,1998,3,PHYALL,Phyllospadix spp,86.1,Zone I
Phyllospadix,1998,4,EGRMEN,Egregia menziesii,0.1,Zone I
Phyllospadix,1998,4,PHYALL,Phyllospadix spp,97.1,Zone I
Phyllospadix,1998,4,SARMUT,Sargassum muticum,0.2,Zone I
Phyllospadix,1999,3,EGRMEN,Egregia menziesii,8,Zone I
Phyllospadix,1999,3,PHYALL,Phyllospadix spp,78.3,Zone I
Phyllospadix,1999,4,EGRMEN,Egregia menziesii,0.7000000000000001,Zone I
Phyllospadix,1999,4,PHYALL,Phyllospadix spp,97.1,Zone I
Phyllospadix,2000,3,PHYALL,Phyllospadix spp,77,Zone I
Phyllospadix,2000,4,PHYALL,Phyllospadix spp,84,Zone I
Phyllospadix,2001,3,PHYALL,Phyllospadix spp,71,Zone I
Phyllospadix,2001,4,EGRMEN,Egregia menziesii,3,Zone I
Phyllospadix,2001,4,PHYALL,Phyllospadix spp,71,Zone I
Phyllospadix,2001,4,SARMUT,Sargassum muticum,1,Zone I
Phyllospadix,2002,3,PHYALL,Phyllospadix spp,65,Zone I
Phyllospadix,2002,4,PHYALL,Phyllospadix spp,87,Zone I
Phyllospadix,2002,4,SARMUT,Sargassum muticum,1,Zone I
Phyllospadix,2003,3,ARTCOR,Articulated corallines,4,Zone I
Phyllospadix,2003,3,OTHRED,Other red algae,16,Zone I
Phyllospadix,2003,3,PHYALL,Phyllospadix spp,72,Zone I
Phyllospadix,2003,3,ROCK,Bare rock,3,Zone I
Phyllospadix,2003,3,SARMUT,Sargassum muticum,2,Zone I
Phyllospadix,2003,4,ARTCOR,Articulated corallines,2,Zone I
Phyllospadix,2003,4,CRUCOR,Crustose corallines,1,Zone I
Phyllospadix,2003,4,EGRMEN,Egregia menziesii,3,Zone I
Phyllospadix,2003,4,HALCYS,Halidrys dioica/cystoseira spp,6,Zone I
Phyllospadix,2003,4,OTHBRO,Other brown algae,3,Zone I
Phyllospadix,2003,4,OTHRED,Other red algae,47,Zone I
Phyllospadix,2003,4,PHYALL,Phyllospadix spp,33,Zone I
Phyllospadix,2003,4,ROCK,Bare rock,3,Zone I
Phyllospadix,2004,3,ARTCOR,Articulated corallines,3,Zone I
Phyllospadix,2004,3,HALCYS,Halidrys dioica/cystoseira spp,1,Zone I
Phyllospadix,2004,3,OTHRED,Other red algae,23,Zone I
Phyllospadix,2004,3,PHYALL,Phyllospadix spp,68,Zone I
Phyllospadix,2004,3,ROCK,Bare rock,1,Zone I
Phyllospadix,2004,3,SAND,Sand,4,Zone I
Phyllospadix,2004,4,ARTCOR,Articulated corallines,1,Zone I
Phyllospadix,2004,4,EGRMEN,Egregia menziesii,2,Zone I
Phyllospadix,2004,4,HALCYS,Halidrys dioica/cystoseira spp,1,Zone I
Phyllospadix,2004,4,OTHRED,Other red algae,3,Zone I
Phyllospadix,2004,4,PHYALL,Phyllospadix spp,93,Zone I
Phyllospadix,2005,4,OTHBRO,Other brown algae,1,Zone I
Phyllospadix,2005,4,PHYALL,Phyllospadix spp,99,Zone I
Phyllospadix,2005,3,ARTCOR,Articulated corallines,10,Zone I
Phyllospadix,2005,3,OTHRED,Other red algae,10,Zone I
Phyllospadix,2005,3,PHYALL,Phyllospadix spp,73,Zone I
Phyllospadix,2005,3,ROCK,Bare rock,7.000000000000001,Zone I
Phyllospadix,2006,3,ARTCOR,Articulated corallines,7.000000000000001,Zone I
Phyllospadix,2006,3,OTHRED,Other red algae,15,Zone I
Phyllospadix,2006,3,PHYALL,Phyllospadix spp,78,Zone I
Phyllospadix,2006,4,ARTCOR,Articulated corallines,2,Zone I
Phyllospadix,2006,4,EGRMEN,Egregia menziesii,9,Zone I
Phyllospadix,2006,4,HALCYS,Halidrys dioica/cystoseira spp,1,Zone I
Phyllospadix,2006,4,OTHBRO,Other brown algae,1,Zone I
Phyllospadix,2006,4,OTHRED,Other red algae,1,Zone I
Phyllospadix,2006,4,PHYALL,Phyllospadix spp,85,Zone I
Phyllospadix,2006,4,SAND,Sand,1,Zone I
Phyllospadix,2007,3,ARTCOR,Articulated corallines,17,Zone I
Phyllospadix,2007,3,CRUCOR,Crustose corallines,1,Zone I
Phyllospadix,2007,3,NONCRU,Non-coralline crust,1,Zone I
Phyllospadix,2007,3,OTHRED,Other red algae,23,Zone I
Phyllospadix,2007,3,PHYALL,Phyllospadix spp,51,Zone I
Phyllospadix,2007,3,ROCK,Bare rock,3,Zone I
Phyllospadix,2007,3,SAND,Sand,4,Zone I
Phyllospadix,2007,4,ARTCOR,Articulated corallines,15,Zone I
Phyllospadix,2007,4,HALCYS,Halidrys dioica/cystoseira spp,1,Zone I
Phyllospadix,2007,4,OTHRED,Other red algae,13,Zone I
Phyllospadix,2007,4,PHYALL,Phyllospadix spp,65,Zone I
Phyllospadix,2007,4,ROCK,Bare rock,6,Zone I
Phyllospadix,2008,3,ARTCOR,Articulated corallines,16,Zone I
Phyllospadix,2008,3,NONCRU,Non-coralline crust,1,Zone I
Phyllospadix,2008,3,OTHGRE,Other green algae,1,Zone I
Phyllospadix,2008,3,OTHRED,Other red algae,12,Zone I
Phyllospadix,2008,3,PHYALL,Phyllospadix spp,63,Zone I
Phyllospadix,2008,3,ROCK,Bare rock,6,Zone I
Phyllospadix,2008,3,SAND,Sand,1,Zone I
Phyllospadix,2008,4,ARTCOR,Articulated corallines,7.000000000000001,Zone I
Phyllospadix,2008,4,EGRMEN,Egregia menziesii,1,Zone I
Phyllospadix,2008,4,OTHRED,Other red algae,7.000000000000001,Zone I
Phyllospadix,2008,4,PHYALL,Phyllospadix spp,77,Zone I
Phyllospadix,2008,4,ROCK,Bare rock,7.000000000000001,Zone I
Phyllospadix,2009,3,ARTCOR,Articulated corallines,16,Zone I
Phyllospadix,2009,3,OTHGRE,Other green algae,3,Zone I
Phyllospadix,2009,3,OTHRED,Other red algae,15,Zone I
Phyllospadix,2009,3,PHYALL,Phyllospadix spp,60,Zone I
Phyllospadix,2009,3,SAND,Sand,6,Zone I
Phyllospadix,2009,4,ARTCOR,Articulated corallines,16,Zone I
Phyllospadix,2009,4,PHYALL,Phyllospadix spp,83,Zone I
Phyllospadix,2009,4,SAND,Sand,1,Zone I
Phyllospadix,2010,3,ARTCOR,Articulated corallines,13,Zone I
Phyllospadix,2010,3,CRUCOR,Crustose corallines,1,Zone I
Phyllospadix,2010,3,EGRMEN,Egregia menziesii,7.000000000000001,Zone I
Phyllospadix,2010,3,OTHRED,Other red algae,7.000000000000001,Zone I
Phyllospadix,2010,3,PHYALL,Phyllospadix spp,70,Zone I
Phyllospadix,2010,3,ROCK,Bare rock,1,Zone I
Phyllospadix,2010,3,SAND,Sand,1,Zone I
Phyllospadix,2010,4,ARTCOR,Articulated corallines,3,Zone I
Phyllospadix,2010,4,EGRMEN,Egregia menziesii,9,Zone I
Phyllospadix,2010,4,OTHRED,Other red algae,3,Zone I
Phyllospadix,2010,4,PHYALL,Phyllospadix spp,79,Zone I
Phyllospadix,2010,4,ROCK,Bare rock,1,Zone I
Phyllospadix,2010,4,SAND,Sand,5,Zone I
Phyllospadix,2011,3,ARTCOR,Articulated corallines,11,Zone I
Phyllospadix,2011,3,EGRMEN,Egregia menziesii,16,Zone I
Phyllospadix,2011,3,OTHBRO,Other brown algae,1,Zone I
Phyllospadix,2011,3,OTHGRE,Other green algae,2,Zone I
Phyllospadix,2011,3,OTHRED,Other red algae,11,Zone I
Phyllospadix,2011,3,PHYALL,Phyllospadix spp,52,Zone I
Phyllospadix,2011,3,ROCK,Bare rock,3,Zone I
Phyllospadix,2011,3,SAND,Sand,4,Zone I
Phyllospadix,2011,4,ARTCOR,Articulated corallines,4,Zone I
Phyllospadix,2011,4,EGRMEN,Egregia menziesii,22,Zone I
Phyllospadix,2011,4,OTHRED,Other red algae,1,Zone I
Phyllospadix,2011,4,PHYALL,Phyllospadix spp,70,Zone I
Phyllospadix,2011,4,ROCK,Bare rock,2,Zone I
Phyllospadix,2011,4,SAND,Sand,1,Zone I
Phyllospadix,2012,3,ARTCOR,Articulated corallines,7.000000000000001,Zone I
Phyllospadix,2012,3,OTHBRO,Other brown algae,1,Zone I
Phyllospadix,2012,3,OTHRED,Other red algae,11,Zone I
Phyllospadix,2012,3,PHYALL,Phyllospadix spp,73,Zone I
Phyllospadix,2012,3,SARMUT,Sargassum muticum,8,Zone I
Phyllospadix,2012,4,ARTCOR,Articulated corallines,2,Zone I
Phyllospadix,2012,4,EGRMEN,Egregia menziesii,3,Zone I
Phyllospadix,2012,4,OTHRED,Other red algae,1,Zone I
Phyllospadix,2012,4,PHYALL,Phyllospadix spp,94,Zone I
Phyllospadix,2013,3,ARTCOR,Articulated corallines,1,Zone I
Phyllospadix,2013,3,OTHRED,Other red algae,21,Zone I
Phyllospadix,2013,3,PHYALL,Phyllospadix spp,72,Zone I
Phyllospadix,2013,3,ROCK,Bare rock,2,Zone I
Phyllospadix,2013,3,SAND,Sand,4,Zone I
Phyllospadix,2013,4,ARTCOR,Articulated corallines,2,Zone I
Phyllospadix,2013,4,EGRMEN,Egregia menziesii,7.000000000000001,Zone I
Phyllospadix,2013,4,OTHBRO,Other brown algae,2,Zone I
Phyllospadix,2013,4,PHYALL,Phyllospadix spp,88,Zone I
Phyllospadix,2013,4,ROCK,Bare rock,1,Zone I
Phyllospadix,2014,3,ARTCOR,Articulated corallines,7.000000000000001,Zone I
Phyllospadix,2014,3,CRUCOR,Crustose corallines,1,Zone I
Phyllospadix,2014,3,OTHGRE,Other green algae,11,Zone I
Phyllospadix,2014,3,OTHRED,Other red algae,30,Zone I
Phyllospadix,2014,3,PHYALL,Phyllospadix spp,46,Zone I
Phyllospadix,2014,3,ROCK,Bare rock,1,Zone I
Phyllospadix,2014,3,SAND,Sand,4,Zone I
Phyllospadix,2014,4,ARTCOR,Articulated corallines,4,Zone I
Phyllospadix,2014,4,EGRMEN,Egregia menziesii,1,Zone I
Phyllospadix,2014,4,OTHBRO,Other brown algae,3,Zone I
Phyllospadix,2014,4,OTHRED,Other red algae,10,Zone I
Phyllospadix,2014,4,PHYALL,Phyllospadix spp,81,Zone I
Phyllospadix,2014,4,ROCK,Bare rock,1,Zone I
Phyllospadix,2015,3,OTHRED,Other red algae,28.000000000000004,Zone I
Phyllospadix,2015,3,PHYALL,Phyllospadix spp,68,Zone I
Phyllospadix,2015,3,ROCK,Bare rock,1,Zone I
Phyllospadix,2015,3,SAND,Sand,3,Zone I
Phyllospadix,2015,4,ARTCOR,Articulated corallines,12,Zone I
Phyllospadix,2015,4,OTHBRO,Other brown algae,2,Zone I
Phyllospadix,2015,4,OTHRED,Other red algae,7.000000000000001,Zone I
Phyllospadix,2015,4,PHYALL,Phyllospadix spp,74,Zone I
Phyllospadix,2015,4,ROCK,Bare rock,1,Zone I
Phyllospadix,2015,4,SAND,Sand,2,Zone I
Phyllospadix,2015,4,SARMUT,Sargassum muticum,1,Zone I
Phyllospadix,2016,4,ARTCOR,Articulated corallines,1,Zone I
Phyllospadix,2016,4,OTHRED,Other red algae,7.000000000000001,Zone I
Phyllospadix,2016,4,PHYALL,Phyllospadix spp,87,Zone I
