survey_year,season_name,season,plot_no,size_class,n,zone
1990,Spring,SP90,4,69,1,Zone I
1990,Spring,SP90,4,70,2,Zone I
1990,Spring,SP90,4,74,1,Zone I
1990,Spring,SP90,4,76,1,Zone I
1990,Spring,SP90,4,79,1,Zone I
1990,Spring,SP90,4,81,1,Zone I
1990,Spring,SP90,5,37,1,Zone I
1990,Spring,SP90,5,40,4,Zone I
1990,Spring,SP90,5,41,3,Zone I
1990,Spring,SP90,5,42,1,Zone I
1990,Spring,SP90,5,43,1,Zone I
1990,Spring,SP90,5,44,1,Zone I
1990,Spring,SP90,5,46,2,Zone I
1990,Spring,SP90,5,47,4,Zone I
1990,Spring,SP90,5,48,1,Zone I
1990,Spring,SP90,5,49,1,Zone I
1990,Spring,SP90,5,51,2,Zone I
1990,Spring,SP90,5,53,1,Zone I
1990,Spring,SP90,5,54,2,Zone I
1990,Spring,SP90,5,55,1,Zone I
1990,Spring,SP90,5,57,1,Zone I
1990,Spring,SP90,5,58,2,Zone I
1990,Fall,FA90,1,18,1,Zone I
1990,Fall,FA90,1,22,1,Zone I
1990,Fall,FA90,1,24,2,Zone I
1990,Fall,FA90,1,25,3,Zone I
1990,Fall,FA90,1,26,1,Zone I
1990,Fall,FA90,1,28,1,Zone I
1990,Fall,FA90,1,29,2,Zone I
1990,Fall,FA90,1,30,2,Zone I
1990,Fall,FA90,1,34,2,Zone I
1990,Fall,FA90,1,35,1,Zone I
1990,Fall,FA90,1,37,1,Zone I
1990,Fall,FA90,1,41,1,Zone I
1990,Fall,FA90,1,42,4,Zone I
1990,Fall,FA90,1,43,1,Zone I
1990,Fall,FA90,1,44,2,Zone I
1990,Fall,FA90,1,45,2,Zone I
1990,Fall,FA90,1,47,1,Zone I
1990,Fall,FA90,1,48,2,Zone I
1990,Fall,FA90,1,49,1,Zone I
1990,Fall,FA90,1,50,2,Zone I
1990,Fall,FA90,1,51,2,Zone I
1990,Fall,FA90,1,52,3,Zone I
1990,Fall,FA90,1,53,3,Zone I
1990,Fall,FA90,1,54,3,Zone I
1990,Fall,FA90,1,55,3,Zone I
1990,Fall,FA90,1,56,3,Zone I
1990,Fall,FA90,1,57,1,Zone I
1990,Fall,FA90,1,58,4,Zone I
1990,Fall,FA90,1,59,1,Zone I
1990,Fall,FA90,1,61,2,Zone I
1990,Fall,FA90,1,63,1,Zone I
1990,Fall,FA90,1,64,1,Zone I
1990,Fall,FA90,2,19,1,Zone I
1990,Fall,FA90,2,22,2,Zone I
1990,Fall,FA90,2,23,1,Zone I
1990,Fall,FA90,2,24,1,Zone I
1990,Fall,FA90,2,25,4,Zone I
1990,Fall,FA90,2,26,4,Zone I
1990,Fall,FA90,2,27,4,Zone I
1990,Fall,FA90,2,28,2,Zone I
1990,Fall,FA90,2,31,1,Zone I
1990,Fall,FA90,2,38,1,Zone I
1990,Fall,FA90,2,39,1,Zone I
1990,Fall,FA90,2,40,1,Zone I
1990,Fall,FA90,2,43,1,Zone I
1990,Fall,FA90,2,44,1,Zone I
1990,Fall,FA90,2,45,2,Zone I
1990,Fall,FA90,2,46,2,Zone I
1990,Fall,FA90,2,47,3,Zone I
1990,Fall,FA90,2,48,3,Zone I
1990,Fall,FA90,2,49,5,Zone I
1990,Fall,FA90,2,50,3,Zone I
1990,Fall,FA90,2,52,1,Zone I
1990,Fall,FA90,2,53,1,Zone I
1990,Fall,FA90,2,54,1,Zone I
1990,Fall,FA90,2,55,2,Zone I
1990,Fall,FA90,2,56,2,Zone I
1990,Fall,FA90,2,57,2,Zone I
1990,Fall,FA90,2,58,2,Zone I
1990,Fall,FA90,2,59,1,Zone I
1990,Fall,FA90,2,61,1,Zone I
1990,Fall,FA90,2,63,1,Zone I
1990,Fall,FA90,2,64,1,Zone I
1990,Fall,FA90,2,67,1,Zone I
1990,Fall,FA90,3,26,1,Zone I
1990,Fall,FA90,3,34,2,Zone I
1990,Fall,FA90,3,39,1,Zone I
1990,Fall,FA90,3,44,1,Zone I
1990,Fall,FA90,3,49,1,Zone I
1990,Fall,FA90,3,50,1,Zone I
1990,Fall,FA90,3,51,1,Zone I
1990,Fall,FA90,3,52,1,Zone I
1990,Fall,FA90,3,53,2,Zone I
1990,Fall,FA90,3,54,2,Zone I
1990,Fall,FA90,3,55,1,Zone I
1990,Fall,FA90,3,56,1,Zone I
1990,Fall,FA90,3,57,1,Zone I
1990,Fall,FA90,3,58,1,Zone I
1990,Fall,FA90,3,59,1,Zone I
1990,Fall,FA90,3,64,1,Zone I
1990,Fall,FA90,4,23,1,Zone I
1990,Fall,FA90,4,25,1,Zone I
1990,Fall,FA90,4,27,1,Zone I
1990,Fall,FA90,4,32,1,Zone I
1990,Fall,FA90,4,38,1,Zone I
1990,Fall,FA90,4,40,1,Zone I
1990,Fall,FA90,4,44,1,Zone I
1990,Fall,FA90,4,48,1,Zone I
1990,Fall,FA90,4,51,1,Zone I
1990,Fall,FA90,4,53,1,Zone I
1990,Fall,FA90,4,55,1,Zone I
1990,Fall,FA90,4,56,2,Zone I
1990,Fall,FA90,4,57,3,Zone I
1990,Fall,FA90,4,58,1,Zone I
1990,Fall,FA90,4,59,2,Zone I
1990,Fall,FA90,4,60,1,Zone I
1990,Fall,FA90,4,61,3,Zone I
1990,Fall,FA90,4,62,3,Zone I
1990,Fall,FA90,4,63,1,Zone I
1990,Fall,FA90,4,64,1,Zone I
1990,Fall,FA90,4,65,2,Zone I
1990,Fall,FA90,4,66,1,Zone I
1990,Fall,FA90,4,69,1,Zone I
1990,Fall,FA90,4,70,1,Zone I
1990,Fall,FA90,4,71,1,Zone I
1990,Fall,FA90,4,74,1,Zone I
1990,Fall,FA90,4,75,1,Zone I
1990,Fall,FA90,4,76,1,Zone I
1990,Fall,FA90,4,80,1,Zone I
1990,Fall,FA90,4,84,1,Zone I
1990,Fall,FA90,4,85,1,Zone I
1990,Fall,FA90,5,22,1,Zone I
1990,Fall,FA90,5,23,2,Zone I
1990,Fall,FA90,5,28,1,Zone I
1990,Fall,FA90,5,35,1,Zone I
1990,Fall,FA90,5,47,1,Zone I
1990,Fall,FA90,5,49,2,Zone I
1990,Fall,FA90,5,51,1,Zone I
1990,Fall,FA90,5,52,3,Zone I
1990,Fall,FA90,5,53,2,Zone I
1990,Fall,FA90,5,54,2,Zone I
1990,Fall,FA90,5,55,2,Zone I
1990,Fall,FA90,5,56,1,Zone I
1990,Fall,FA90,5,57,1,Zone I
1990,Fall,FA90,5,59,1,Zone I
1990,Fall,FA90,5,61,1,Zone I
1991,Spring,SP91,1,19,1,Zone I
1991,Spring,SP91,1,26,2,Zone I
1991,Spring,SP91,1,27,1,Zone I
1991,Spring,SP91,1,28,2,Zone I
1991,Spring,SP91,1,29,3,Zone I
1991,Spring,SP91,1,30,1,Zone I
1991,Spring,SP91,1,31,2,Zone I
1991,Spring,SP91,1,32,1,Zone I
1991,Spring,SP91,1,33,2,Zone I
1991,Spring,SP91,1,34,1,Zone I
1991,Spring,SP91,1,36,2,Zone I
1991,Spring,SP91,1,37,1,Zone I
1991,Spring,SP91,1,39,2,Zone I
1991,Spring,SP91,1,40,2,Zone I
1991,Spring,SP91,1,41,1,Zone I
1991,Spring,SP91,1,42,1,Zone I
1991,Spring,SP91,1,44,2,Zone I
1991,Spring,SP91,1,45,1,Zone I
1991,Spring,SP91,1,46,1,Zone I
1991,Spring,SP91,1,47,2,Zone I
1991,Spring,SP91,1,48,4,Zone I
1991,Spring,SP91,1,49,3,Zone I
1991,Spring,SP91,1,51,1,Zone I
1991,Spring,SP91,1,52,1,Zone I
1991,Spring,SP91,1,53,1,Zone I
1991,Spring,SP91,1,54,2,Zone I
1991,Spring,SP91,1,56,2,Zone I
1991,Spring,SP91,1,57,1,Zone I
1991,Spring,SP91,1,58,3,Zone I
1991,Spring,SP91,1,59,1,Zone I
1991,Spring,SP91,1,60,2,Zone I
1991,Spring,SP91,1,63,1,Zone I
1991,Spring,SP91,2,22,1,Zone I
1991,Spring,SP91,2,23,2,Zone I
1991,Spring,SP91,2,24,1,Zone I
1991,Spring,SP91,2,26,3,Zone I
1991,Spring,SP91,2,29,2,Zone I
1991,Spring,SP91,2,30,1,Zone I
1991,Spring,SP91,2,31,3,Zone I
1991,Spring,SP91,2,32,2,Zone I
1991,Spring,SP91,2,33,1,Zone I
1991,Spring,SP91,2,34,1,Zone I
1991,Spring,SP91,2,35,1,Zone I
1991,Spring,SP91,2,37,1,Zone I
1991,Spring,SP91,2,39,2,Zone I
1991,Spring,SP91,2,42,2,Zone I
1991,Spring,SP91,2,44,1,Zone I
1991,Spring,SP91,2,45,3,Zone I
1991,Spring,SP91,2,46,2,Zone I
1991,Spring,SP91,2,47,1,Zone I
1991,Spring,SP91,2,48,4,Zone I
1991,Spring,SP91,2,49,2,Zone I
1991,Spring,SP91,2,50,4,Zone I
1991,Spring,SP91,2,51,1,Zone I
1991,Spring,SP91,2,52,1,Zone I
1991,Spring,SP91,2,54,2,Zone I
1991,Spring,SP91,2,55,1,Zone I
1991,Spring,SP91,2,56,1,Zone I
1991,Spring,SP91,2,57,2,Zone I
1991,Spring,SP91,2,58,2,Zone I
1991,Spring,SP91,2,60,2,Zone I
1991,Spring,SP91,2,62,2,Zone I
1991,Spring,SP91,2,66,1,Zone I
1991,Spring,SP91,2,69,1,Zone I
1991,Spring,SP91,3,30,1,Zone I
1991,Spring,SP91,3,32,1,Zone I
1991,Spring,SP91,3,37,2,Zone I
1991,Spring,SP91,3,41,1,Zone I
1991,Spring,SP91,3,44,1,Zone I
1991,Spring,SP91,3,50,1,Zone I
1991,Spring,SP91,3,51,2,Zone I
1991,Spring,SP91,3,52,2,Zone I
1991,Spring,SP91,3,54,3,Zone I
1991,Spring,SP91,3,57,2,Zone I
1991,Spring,SP91,3,59,1,Zone I
1991,Spring,SP91,3,63,1,Zone I
1991,Spring,SP91,4,22,1,Zone I
1991,Spring,SP91,4,26,1,Zone I
1991,Spring,SP91,4,27,1,Zone I
1991,Spring,SP91,4,29,1,Zone I
1991,Spring,SP91,4,32,1,Zone I
1991,Spring,SP91,4,33,2,Zone I
1991,Spring,SP91,4,34,1,Zone I
1991,Spring,SP91,4,38,1,Zone I
1991,Spring,SP91,4,45,2,Zone I
1991,Spring,SP91,4,48,1,Zone I
1991,Spring,SP91,4,53,1,Zone I
1991,Spring,SP91,4,54,1,Zone I
1991,Spring,SP91,4,55,4,Zone I
1991,Spring,SP91,4,56,4,Zone I
1991,Spring,SP91,4,58,1,Zone I
1991,Spring,SP91,4,59,2,Zone I
1991,Spring,SP91,4,60,1,Zone I
1991,Spring,SP91,4,61,1,Zone I
1991,Spring,SP91,4,62,1,Zone I
1991,Spring,SP91,4,64,1,Zone I
1991,Spring,SP91,4,65,2,Zone I
1991,Spring,SP91,4,69,2,Zone I
1991,Spring,SP91,4,70,2,Zone I
1991,Spring,SP91,4,74,1,Zone I
1991,Spring,SP91,4,78,1,Zone I
1991,Spring,SP91,4,83,2,Zone I
1991,Spring,SP91,5,23,1,Zone I
1991,Spring,SP91,5,25,2,Zone I
1991,Spring,SP91,5,26,1,Zone I
1991,Spring,SP91,5,27,2,Zone I
1991,Spring,SP91,5,28,1,Zone I
1991,Spring,SP91,5,29,2,Zone I
1991,Spring,SP91,5,31,1,Zone I
1991,Spring,SP91,5,33,1,Zone I
1991,Spring,SP91,5,35,1,Zone I
1991,Spring,SP91,5,40,1,Zone I
1991,Spring,SP91,5,47,1,Zone I
1991,Spring,SP91,5,48,1,Zone I
1991,Spring,SP91,5,49,2,Zone I
1991,Spring,SP91,5,50,1,Zone I
1991,Spring,SP91,5,52,3,Zone I
1991,Spring,SP91,5,53,4,Zone I
1991,Spring,SP91,5,54,1,Zone I
1991,Spring,SP91,5,55,1,Zone I
1991,Spring,SP91,5,58,1,Zone I
1991,Fall,FA91,1,28,1,Zone I
1991,Fall,FA91,1,33,2,Zone I
1991,Fall,FA91,1,37,1,Zone I
1991,Fall,FA91,1,39,2,Zone I
1991,Fall,FA91,1,40,1,Zone I
1991,Fall,FA91,1,41,1,Zone I
1991,Fall,FA91,1,43,4,Zone I
1991,Fall,FA91,1,44,3,Zone I
1991,Fall,FA91,1,45,1,Zone I
1991,Fall,FA91,1,46,3,Zone I
1991,Fall,FA91,1,47,1,Zone I
1991,Fall,FA91,1,49,2,Zone I
1991,Fall,FA91,1,50,1,Zone I
1991,Fall,FA91,1,54,4,Zone I
1991,Fall,FA91,1,55,1,Zone I
1991,Fall,FA91,1,56,1,Zone I
1991,Fall,FA91,1,57,1,Zone I
1991,Fall,FA91,1,63,1,Zone I
1991,Fall,FA91,1,65,1,Zone I
1991,Fall,FA91,2,17,1,Zone I
1991,Fall,FA91,2,18,1,Zone I
1991,Fall,FA91,2,19,1,Zone I
1991,Fall,FA91,2,20,2,Zone I
1991,Fall,FA91,2,21,3,Zone I
1991,Fall,FA91,2,22,1,Zone I
1991,Fall,FA91,2,23,3,Zone I
1991,Fall,FA91,2,24,2,Zone I
1991,Fall,FA91,2,25,1,Zone I
1991,Fall,FA91,2,26,1,Zone I
1991,Fall,FA91,2,27,2,Zone I
1991,Fall,FA91,2,29,1,Zone I
1991,Fall,FA91,2,31,1,Zone I
1991,Fall,FA91,2,32,1,Zone I
1991,Fall,FA91,2,33,1,Zone I
1991,Fall,FA91,2,35,3,Zone I
1991,Fall,FA91,2,36,3,Zone I
1991,Fall,FA91,2,37,1,Zone I
1991,Fall,FA91,2,38,1,Zone I
1991,Fall,FA91,2,39,3,Zone I
1991,Fall,FA91,2,40,2,Zone I
1991,Fall,FA91,2,41,1,Zone I
1991,Fall,FA91,2,42,1,Zone I
1991,Fall,FA91,2,43,1,Zone I
1991,Fall,FA91,2,44,2,Zone I
1991,Fall,FA91,2,45,1,Zone I
1991,Fall,FA91,2,47,2,Zone I
1991,Fall,FA91,2,48,2,Zone I
1991,Fall,FA91,2,50,1,Zone I
1991,Fall,FA91,2,51,1,Zone I
1991,Fall,FA91,2,52,5,Zone I
1991,Fall,FA91,2,53,2,Zone I
1991,Fall,FA91,2,54,4,Zone I
1991,Fall,FA91,2,56,2,Zone I
1991,Fall,FA91,2,57,1,Zone I
1991,Fall,FA91,2,62,3,Zone I
1991,Fall,FA91,2,63,1,Zone I
1991,Fall,FA91,3,25,1,Zone I
1991,Fall,FA91,3,34,1,Zone I
1991,Fall,FA91,3,42,1,Zone I
1991,Fall,FA91,3,46,1,Zone I
1991,Fall,FA91,3,48,1,Zone I
1991,Fall,FA91,3,50,1,Zone I
1991,Fall,FA91,3,51,1,Zone I
1991,Fall,FA91,3,53,1,Zone I
1991,Fall,FA91,3,55,2,Zone I
1991,Fall,FA91,3,56,1,Zone I
1991,Fall,FA91,3,58,1,Zone I
1991,Fall,FA91,3,60,2,Zone I
1991,Fall,FA91,3,61,1,Zone I
1991,Fall,FA91,3,63,1,Zone I
1991,Fall,FA91,3,66,1,Zone I
1991,Fall,FA91,4,19,1,Zone I
1991,Fall,FA91,4,20,2,Zone I
1991,Fall,FA91,4,22,1,Zone I
1991,Fall,FA91,4,28,1,Zone I
1991,Fall,FA91,4,32,1,Zone I
1991,Fall,FA91,4,33,2,Zone I
1991,Fall,FA91,4,36,1,Zone I
1991,Fall,FA91,4,37,1,Zone I
1991,Fall,FA91,4,38,1,Zone I
1991,Fall,FA91,4,41,1,Zone I
1991,Fall,FA91,4,44,1,Zone I
1991,Fall,FA91,4,47,1,Zone I
1991,Fall,FA91,4,48,1,Zone I
1991,Fall,FA91,4,49,2,Zone I
1991,Fall,FA91,4,54,2,Zone I
1991,Fall,FA91,4,55,1,Zone I
1991,Fall,FA91,4,61,1,Zone I
1991,Fall,FA91,4,62,1,Zone I
1991,Fall,FA91,4,64,1,Zone I
1991,Fall,FA91,4,66,2,Zone I
1991,Fall,FA91,4,69,1,Zone I
1991,Fall,FA91,4,70,1,Zone I
1991,Fall,FA91,4,71,2,Zone I
1991,Fall,FA91,4,76,1,Zone I
1991,Fall,FA91,4,79,1,Zone I
1991,Fall,FA91,4,82,1,Zone I
1991,Fall,FA91,4,84,1,Zone I
1991,Fall,FA91,5,21,1,Zone I
1991,Fall,FA91,5,23,1,Zone I
1991,Fall,FA91,5,25,1,Zone I
1991,Fall,FA91,5,28,1,Zone I
1991,Fall,FA91,5,31,1,Zone I
1991,Fall,FA91,5,33,1,Zone I
1991,Fall,FA91,5,35,1,Zone I
1991,Fall,FA91,5,37,1,Zone I
1991,Fall,FA91,5,38,1,Zone I
1991,Fall,FA91,5,39,1,Zone I
1991,Fall,FA91,5,40,4,Zone I
1991,Fall,FA91,5,43,2,Zone I
1991,Fall,FA91,5,44,2,Zone I
1991,Fall,FA91,5,45,1,Zone I
1991,Fall,FA91,5,47,1,Zone I
1991,Fall,FA91,5,48,1,Zone I
1991,Fall,FA91,5,49,1,Zone I
1991,Fall,FA91,5,51,1,Zone I
1991,Fall,FA91,5,53,1,Zone I
1991,Fall,FA91,5,54,2,Zone I
1991,Fall,FA91,5,55,1,Zone I
1991,Fall,FA91,5,56,1,Zone I
1992,Spring,SP92,1,29,1,Zone I
1992,Spring,SP92,1,34,1,Zone I
1992,Spring,SP92,1,35,1,Zone I
1992,Spring,SP92,1,36,2,Zone I
1992,Spring,SP92,1,39,3,Zone I
1992,Spring,SP92,1,40,3,Zone I
1992,Spring,SP92,1,41,1,Zone I
1992,Spring,SP92,1,42,1,Zone I
1992,Spring,SP92,1,44,1,Zone I
1992,Spring,SP92,1,45,2,Zone I
1992,Spring,SP92,1,46,2,Zone I
1992,Spring,SP92,1,47,3,Zone I
1992,Spring,SP92,1,48,2,Zone I
1992,Spring,SP92,1,49,1,Zone I
1992,Spring,SP92,1,50,1,Zone I
1992,Spring,SP92,1,51,1,Zone I
1992,Spring,SP92,1,52,1,Zone I
1992,Spring,SP92,1,54,2,Zone I
1992,Spring,SP92,1,57,1,Zone I
1992,Spring,SP92,1,58,2,Zone I
1992,Spring,SP92,1,59,1,Zone I
1992,Spring,SP92,2,21,1,Zone I
1992,Spring,SP92,2,22,1,Zone I
1992,Spring,SP92,2,25,2,Zone I
1992,Spring,SP92,2,27,1,Zone I
1992,Spring,SP92,2,28,5,Zone I
1992,Spring,SP92,2,29,2,Zone I
1992,Spring,SP92,2,30,2,Zone I
1992,Spring,SP92,2,31,1,Zone I
1992,Spring,SP92,2,32,1,Zone I
1992,Spring,SP92,2,33,2,Zone I
1992,Spring,SP92,2,34,2,Zone I
1992,Spring,SP92,2,35,2,Zone I
1992,Spring,SP92,2,36,4,Zone I
1992,Spring,SP92,2,38,2,Zone I
1992,Spring,SP92,2,41,1,Zone I
1992,Spring,SP92,2,42,3,Zone I
1992,Spring,SP92,2,45,1,Zone I
1992,Spring,SP92,2,46,1,Zone I
1992,Spring,SP92,2,48,1,Zone I
1992,Spring,SP92,2,49,3,Zone I
1992,Spring,SP92,2,50,5,Zone I
1992,Spring,SP92,2,51,1,Zone I
1992,Spring,SP92,2,52,1,Zone I
1992,Spring,SP92,2,53,3,Zone I
1992,Spring,SP92,2,54,5,Zone I
1992,Spring,SP92,2,55,1,Zone I
1992,Spring,SP92,2,56,1,Zone I
1992,Spring,SP92,2,60,1,Zone I
1992,Spring,SP92,2,63,1,Zone I
1992,Spring,SP92,2,64,2,Zone I
1992,Spring,SP92,2,70,1,Zone I
1992,Spring,SP92,3,38,1,Zone I
1992,Spring,SP92,3,40,1,Zone I
1992,Spring,SP92,3,49,1,Zone I
1992,Spring,SP92,3,50,2,Zone I
1992,Spring,SP92,3,52,2,Zone I
1992,Spring,SP92,3,53,1,Zone I
1992,Spring,SP92,3,55,1,Zone I
1992,Spring,SP92,3,57,1,Zone I
1992,Spring,SP92,3,59,2,Zone I
1992,Spring,SP92,3,62,1,Zone I
1992,Spring,SP92,3,63,1,Zone I
1992,Spring,SP92,3,66,1,Zone I
1992,Spring,SP92,4,26,1,Zone I
1992,Spring,SP92,4,28,2,Zone I
1992,Spring,SP92,4,31,2,Zone I
1992,Spring,SP92,4,33,1,Zone I
1992,Spring,SP92,4,37,1,Zone I
1992,Spring,SP92,4,38,1,Zone I
1992,Spring,SP92,4,39,1,Zone I
1992,Spring,SP92,4,40,1,Zone I
1992,Spring,SP92,4,42,3,Zone I
1992,Spring,SP92,4,45,1,Zone I
1992,Spring,SP92,4,52,2,Zone I
1992,Spring,SP92,4,57,2,Zone I
1992,Spring,SP92,4,60,2,Zone I
1992,Spring,SP92,4,61,1,Zone I
1992,Spring,SP92,4,62,2,Zone I
1992,Spring,SP92,4,63,1,Zone I
1992,Spring,SP92,4,65,1,Zone I
1992,Spring,SP92,4,71,1,Zone I
1992,Spring,SP92,4,72,1,Zone I
1992,Spring,SP92,4,73,2,Zone I
1992,Spring,SP92,4,75,1,Zone I
1992,Spring,SP92,4,77,1,Zone I
1992,Spring,SP92,4,79,1,Zone I
1992,Spring,SP92,5,18,1,Zone I
1992,Spring,SP92,5,19,1,Zone I
1992,Spring,SP92,5,25,1,Zone I
1992,Spring,SP92,5,28,1,Zone I
1992,Spring,SP92,5,29,1,Zone I
1992,Spring,SP92,5,31,3,Zone I
1992,Spring,SP92,5,32,2,Zone I
1992,Spring,SP92,5,33,2,Zone I
1992,Spring,SP92,5,34,1,Zone I
1992,Spring,SP92,5,40,3,Zone I
1992,Spring,SP92,5,43,1,Zone I
1992,Spring,SP92,5,44,2,Zone I
1992,Spring,SP92,5,47,2,Zone I
1992,Spring,SP92,5,48,1,Zone I
1992,Spring,SP92,5,49,1,Zone I
1992,Spring,SP92,5,50,3,Zone I
1992,Spring,SP92,5,51,1,Zone I
1992,Spring,SP92,5,52,1,Zone I
1992,Spring,SP92,5,55,5,Zone I
1992,Spring,SP92,5,56,2,Zone I
1992,Summer,SU92,1,24,1,Zone I
1992,Summer,SU92,1,27,2,Zone I
1992,Summer,SU92,1,30,1,Zone I
1992,Summer,SU92,1,37,2,Zone I
1992,Summer,SU92,1,39,1,Zone I
1992,Summer,SU92,1,40,1,Zone I
1992,Summer,SU92,1,41,1,Zone I
1992,Summer,SU92,1,43,1,Zone I
1992,Summer,SU92,1,44,3,Zone I
1992,Summer,SU92,1,45,2,Zone I
1992,Summer,SU92,1,46,1,Zone I
1992,Summer,SU92,1,47,1,Zone I
1992,Summer,SU92,1,48,2,Zone I
1992,Summer,SU92,1,49,2,Zone I
1992,Summer,SU92,1,50,2,Zone I
1992,Summer,SU92,1,51,3,Zone I
1992,Summer,SU92,1,53,1,Zone I
1992,Summer,SU92,1,54,1,Zone I
1992,Summer,SU92,1,56,1,Zone I
1992,Summer,SU92,1,58,1,Zone I
1992,Summer,SU92,1,59,1,Zone I
1992,Summer,SU92,1,62,1,Zone I
1992,Summer,SU92,2,15,1,Zone I
1992,Summer,SU92,2,17,1,Zone I
1992,Summer,SU92,2,23,1,Zone I
1992,Summer,SU92,2,28,1,Zone I
1992,Summer,SU92,2,29,2,Zone I
1992,Summer,SU92,2,30,1,Zone I
1992,Summer,SU92,2,31,1,Zone I
1992,Summer,SU92,2,32,2,Zone I
1992,Summer,SU92,2,33,1,Zone I
1992,Summer,SU92,2,34,2,Zone I
1992,Summer,SU92,2,35,2,Zone I
1992,Summer,SU92,2,36,3,Zone I
1992,Summer,SU92,2,37,1,Zone I
1992,Summer,SU92,2,38,1,Zone I
1992,Summer,SU92,2,39,1,Zone I
1992,Summer,SU92,2,40,2,Zone I
1992,Summer,SU92,2,42,4,Zone I
1992,Summer,SU92,2,43,2,Zone I
1992,Summer,SU92,2,44,1,Zone I
1992,Summer,SU92,2,47,1,Zone I
1992,Summer,SU92,2,49,2,Zone I
1992,Summer,SU92,2,51,2,Zone I
1992,Summer,SU92,2,52,2,Zone I
1992,Summer,SU92,2,53,1,Zone I
1992,Summer,SU92,2,54,7,Zone I
1992,Summer,SU92,2,55,1,Zone I
